forecast_date,target_date,ticker,p10,p50,p90,actual,model_used,direction,signal_strength,conviction_score,error_abs,error_pct,hit,direction_correct,graded_at,notes,poly_adjusted_p50,poly_adjusted_p10,poly_adjusted_p90,poly_signal,poly_confidence,poly_alignment,poly_adjustment_pct,poly_top_question
2026-05-03,2026-05-15,AUDUSD=X,0.71582,0.719507,0.723194,,TimeCopilot_MedianEnsemble,BULLISH,0.3752,0.7942,,,,,,,0.719507,0.71582,0.723194,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-04,USDCHF=X,0.777489,0.78149,0.785492,0.78113,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,0.00036,0.0461,1.0,0.0,2026-05-05T06:45:36.333734,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,USDCHF=X,0.777489,0.78149,0.785492,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,0.78149,0.777489,0.785492,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,USDCHF=X,0.777489,0.78149,0.785492,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,0.78149,0.777489,0.785492,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,USDCHF=X,0.777489,0.78149,0.785492,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,0.78149,0.777489,0.785492,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,USDCHF=X,0.777489,0.78149,0.785491,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,0.78149,0.777489,0.785491,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,USDCHF=X,0.777489,0.78149,0.785492,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,0.78149,0.777489,0.785492,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,USDCHF=X,0.777489,0.78149,0.785492,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,0.78149,0.777489,0.785492,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-13,USDCHF=X,0.777489,0.78149,0.785492,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,0.78149,0.777489,0.785492,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-14,USDCHF=X,0.777489,0.78149,0.785492,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,0.78149,0.777489,0.785492,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-15,USDCHF=X,0.777489,0.78149,0.785491,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7952,,,,,,,0.78149,0.777489,0.785491,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-04,HG=F,5.835227,5.978529,6.12183,5.795,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0422,0.183529,3.0698,0.0,0.0,2026-05-05T06:45:36.063271,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,HG=F,5.785925,5.978897,6.17187,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0,,,,,,,5.978897,5.785925,6.17187,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,HG=F,5.746136,5.978856,6.211576,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0,,,,,,,5.978856,5.746136,6.211576,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,HG=F,5.712295,5.978861,6.245427,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0,,,,,,,5.978861,5.712295,6.245427,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,HG=F,5.682276,5.97886,6.275444,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0,,,,,,,5.97886,5.682276,6.275444,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-11,HG=F,5.655024,5.97886,6.302696,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0,,,,,,,5.97886,5.655024,6.302696,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-12,HG=F,5.62989,5.97886,6.327831,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0,,,,,,,5.97886,5.62989,6.327831,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-13,HG=F,5.606443,5.97886,6.351277,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0,,,,,,,5.97886,5.606443,6.351277,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-14,HG=F,5.584384,5.97886,6.373336,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0,,,,,,,5.97886,5.584384,6.373336,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-15,HG=F,5.563491,5.97886,6.394229,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0942,0.0,,,,,,,5.97886,5.563491,6.394229,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-04,DX-Y.NYB,97.671473,98.209993,98.748512,98.470001,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.7807,0.260008,0.2647,1.0,0.0,2026-05-05T06:45:35.738728,,,,,nan,nan,nan,,
2026-05-03,2026-05-05,DX-Y.NYB,97.448428,98.209993,98.971557,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.6898,,,,,,,98.209993,97.448428,98.971557,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-06,DX-Y.NYB,97.277276,98.209993,99.142709,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.6201,,,,,,,98.209993,97.277276,99.142709,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-07,DX-Y.NYB,97.132987,98.209993,99.286998,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.5613,,,,,,,98.209993,97.132987,99.286998,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
2026-05-03,2026-05-08,DX-Y.NYB,97.005864,98.209993,99.414121,,TimeCopilot_MedianEnsemble,NEUTRAL,0.0,0.5096,,,,,,,98.209993,97.005864,99.414121,NO_SIGNAL,NO_DATA,POLY_NEUTRAL,0.0,
