date,ticker,spot,m1,m2,m3,regime,contango_m1_pct,contango_m2_pct,contango_m3_pct,roll_yield_annualized_pct,curve_slope
2026-06-12,ZC=F,413.0,413.0,420.75,440.25,FLAT,0.0,1.8765,6.5981,-0.0,6.5981
2026-06-13,CL=F,84.290001,84.290001,82.739998,81.25,FLAT,0.0,-1.8389,-3.6066,-0.0,-3.6066
2026-06-13,GC=F,4239.899902,4239.899902,4264.299805,4302.0,FLAT,0.0,0.5755,1.4647,-0.0,1.4647
2026-06-13,NG=F,3.141,3.141,3.175,3.143,FLAT,0.0,1.0825,0.0637,-0.0,0.0637
2026-06-13,SI=F,68.120003,67.995003,68.589996,69.379997,FLAT,-0.1835,0.6899,1.8497,2.202,2.0369
2026-06-13,HG=F,6.474,6.5105,6.571,6.623,CONTANGO,0.5638,1.4983,2.3015,-6.7656,1.728
2026-06-13,ZW=F,585.25,585.25,596.5,612.75,FLAT,0.0,1.9223,4.6988,-0.0,4.6988
2026-06-13,ZC=F,413.25,413.25,421.5,440.75,FLAT,0.0,1.9964,6.6546,-0.0,6.6546
2026-06-16,CL=F,81.279999,81.279999,79.940002,78.599998,FLAT,0.0,-1.6486,-3.2972,-0.0,-3.2972
2026-06-16,GC=F,4332.799805,4332.799805,4361.0,4394.0,FLAT,0.0,0.6509,1.4125,-0.0,1.4125
2026-06-16,NG=F,3.159,3.159,3.179,3.142,FLAT,0.0,0.6331,-0.5381,-0.0,-0.5381
2026-06-16,SI=F,69.894997,70.080002,71.845001,71.290001,FLAT,0.2647,2.7899,1.9959,-3.1764,1.7266
2026-06-16,HG=F,6.4835,6.528,6.557,6.6255,CONTANGO,0.6864,1.1336,2.1902,-8.2368,1.4936
2026-06-16,ZW=F,589.0,589.0,599.75,615.75,FLAT,0.0,1.8251,4.5416,-0.0,4.5416
2026-06-16,ZC=F,414.0,414.0,421.5,440.25,FLAT,0.0,1.8116,6.3406,-0.0,6.3406
2026-06-17,CL=F,75.839996,76.580002,75.839996,75.120003,CONTANGO,0.9757,0.0,-0.9494,-11.7084,-1.9065
2026-06-17,GC=F,4360.899902,4360.899902,4388.700195,4421.799805,FLAT,0.0,0.6375,1.3965,-0.0,1.3965
2026-06-17,NG=F,3.258,3.258,3.274,3.233,FLAT,0.0,0.4911,-0.7673,-0.0,-0.7673
2026-06-17,SI=F,70.360001,70.230003,71.084999,71.364998,FLAT,-0.1848,1.0304,1.4284,2.2176,1.6161
2026-06-17,HG=F,6.501,6.5325,6.5805,6.6375,CONTANGO,0.4845,1.2229,2.0997,-5.814,1.6073
2026-06-17,ZW=F,604.75,595.5,604.75,622.25,BACKWARDATION,-1.5296,0.0,2.8938,18.3552,4.492
2026-06-17,ZC=F,414.5,414.5,423.5,443.5,FLAT,0.0,2.1713,6.9964,-0.0,6.9964
2026-06-18,CL=F,75.139999,75.889999,75.139999,74.349998,CONTANGO,0.9981,0.0,-1.0514,-11.9772,-2.0293
2026-06-18,GC=F,4325.700195,4325.700195,4357.200195,4389.200195,FLAT,0.0,0.7282,1.468,-0.0,1.468
2026-06-18,NG=F,3.156,3.156,3.192,3.158,FLAT,0.0,1.1407,0.0634,-0.0,0.0634
2026-06-18,SI=F,69.305,69.485001,70.778999,69.675003,FLAT,0.2597,2.1268,0.5339,-3.1164,0.2734
2026-06-18,HG=F,6.398,6.4085,6.4835,6.5425,FLAT,0.1641,1.3364,2.2585,-1.9692,2.091
2026-06-18,ZW=F,620.0,611.5,620.0,636.25,BACKWARDATION,-1.371,0.0,2.621,16.452,4.0474
2026-06-18,ZC=F,419.0,419.0,427.5,446.75,FLAT,0.0,2.0286,6.6229,-0.0,6.6229
